Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C05,RT,9310,6/15/09,2009,6,1,2,340,411,4,m,NA,NA,NA,NA,2005,2005,C05,4,9310,LIdri,LIdri_RT,1
C08,RT,9315,6/15/09,2009,6,1,1,176,56,1,NA,1,NA,NA,NA,2008,2008,C08,1,9315,LIdri,LIdri_RT,1
C08,RT,9315,9/7/09,2009,9,1,1,208,97,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9315,LIdri,LIdri_RT,1
C08,RT,9318,6/15/09,2009,6,1,1,168,49,1,NA,1,NA,NA,NA,2008,2008,C08,1,9318,LIdri,LIdri_RT,1
C08,RT,9319,6/15/09,2009,6,1,2,175,56,1,NA,1,NA,NA,NA,2008,2008,C08,1,9319,LIdri,LIdri_RT,1
C08,RT,9328,6/15/09,2009,6,1,1,143,37,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9328,LIdri,LIdri_RT,1
C08,RT,9332,6/15/09,2009,6,1,1,174,60,1,NA,1,NA,NA,NA,2008,2008,C08,1,9332,LIdri,LIdri_RT,1
C08,RT,9332,9/7/09,2009,9,1,1,198,83,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9332,LIdri,LIdri_RT,1
C08,RT,9334,6/15/09,2009,6,1,1,168,52,1,NA,1,NA,NA,NA,2008,2008,C08,1,9334,LIdri,LIdri_RT,1
C08,RT,9335,6/15/09,2009,6,1,1,148,35,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9335,LIdri,LIdri_RT,1
C08,RT,9339,6/15/09,2009,6,1,1,146,38,1,NA,1,NA,NA,NA,2008,2008,C08,1,9339,LIdri,LIdri_RT,1
C08,RT,9339,9/7/09,2009,9,1,1,153,34,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9339,LIdri,LIdri_RT,1
C08,RT,9347,6/15/09,2009,6,1,1,148,36,1,NA,1,NA,NA,NA,2008,2008,C08,1,9347,LIdri,LIdri_RT,1
C08,RT,9347,9/7/09,2009,9,1,2,163,43,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9347,LIdri,LIdri_RT,1
C08,RT,9347,6/14/10,2010,6,1,1,200,79,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9347,LIdri,LIdri_RT,1
C08,RT,9347,6/20/11,2011,6,1,1,276,209,3,NA,NA,NA,12,NA,2008,2008,C08,3,9347,LIdri,LIdri_RT,1
C08,RT,9347,9/12/11,2011,9,1,1,283,218,3,NA,NA,NA,NA,NA,2008,2008,C08,3,9347,LIdri,LIdri_RT,1
C08,RT,9347,6/19/12,2012,6,1,2,291,244,4,NA,NA,NA,83,NA,2008,2008,C08,4,9347,LIdri,LIdri_RT,1
C08,RT,9347,9/10/12,2012,9,1,2,296,247.5,4,NA,NA,NA,NA,NA,2008,2008,C08,4,9347,LIdri,LIdri_RT,1
C08,RT,9347,9/16/13,2013,9,1,1,307,286.1,5,NA,NA,NA,1091,NA,2008,2008,C08,5,9347,LIdri,LIdri_RT,1
C08,RT,9348,6/15/09,2009,6,1,1,152,41,1,NA,1,NA,NA,NA,2008,2008,C08,1,9348,LIdri,LIdri_RT,1
